btc,eth,usdt,xrp,doge,ltc,xmr,usdc,phb,luna,dgb,ngc,trx,nano,dash,vet,aion,hnt,hex,xtz,xlm,snm,sol,bch,egld,cake,ht,btt,theta,one,gusd,zec,sfp,psg,rvn,etc,shib,erg,ark,gno,ada,mana,busd,iotx,nim,smart,mith,uni,1inch,powr,sc,babydoge,matic,xch,cro,atom,awc,bnt,lrc,twt,avax,bsv,xno,dag,paxg,vtc,loom,bcd,nxt,rune,zcl,hive,glmr,firo,dot,xec,ape,klay,brise,zil,dai,wbtc,nebl,okb,ftt,dcr,yfi,aca,adx,btcb,kda,flux,axs,shinja,mx,lunc,algo,elf,steem,grt,gt,req,sun,bnbbep20,steth,ethw,waxp,xvg,celo,ustc,sand,kava,xyo,kin,sys,etn,ardr,arrr,eos,vlx,fet,nav,knc,strax,rcn,xvs,fio,ogn,edg,wise,stx,tusd,keanu,rdd,op,ubt,bttc,anc,gala,mdx,aave,ldo,hbtc,near,ohm,nexo,kishu,rose,amp,poa,vib,rfr,lsk,kcs,lpt,vra,icp,neo,blocks,beam,xhv,floki,api3,vgx,ens,btu,aurora,blok,gnx,iost,cel,nkn,wrx,ghst,crv,leo,juv,ont,idrt,bal,snt,tel,ckb,nrg,amb,vidt,brd,sub,wxt,omg,hbar,ocean,cult,klv,trtl,elon,btcst,wing,dnt,mph,link,hbd,joe,hokk,cudos,weth,iota,rsr,movr,cspr,hc,ant,hoge,snx,ppc,aoa,dao,astr,srm,vision,copi,celr,ankr,spi,cvc,bnx,abyss,cyber,unibot,rari,gmee,fuse,volt,ycc,mob,banana,ltx,sky,sfmbsc,ctxc,htr,loka,ar,pit,df,pundix,jst,bin,arv,xdb,poodl,btg,arpa,enj,raca,audio,voxel,slp,sfuel,bolt,pivx,gst,tko,dobo,gsc,atri,tomo,flow,imx,zen,bake,chsb,og,xdc,starl,tfuel,fun,sanshu,xprt,shr,ong,yfii,bico,ewt,lazio,cnd,nix,gnt,ava,akro,oxt,btm,rpl,vtho,mtl,orn,bat,sushi,she,reef,can,dlt,blz,lgcy,atl,sngls,mft,stc,oax,roobee,arb,ksm,xem,cmt,qkc,dgtx,fida,dent
BTC to BSV,ETH to STETH,USDT to ETH,XRP to DAI,DOGE to BTC,LTC to BTC,XMR to AVAX,USDC to DOGE,PHB to WIN,LUNA to BTC,DGB to ONT,NGC to PORTO,TRX to BTC,NANO to RVN,DASH to USDT,VET to XMR,AION to FLOW,HNT to USDT,HEX to ETH,XTZ to TRX,XLM to CSPR,SNM to BRD,SOL to USDC,BCH to BTC,EGLD to ATOM,CAKE to WPR,HT to CFI,BTT to TRX,THETA to ETH,ONE to XMR,GUSD to BTC,ZEC to XMR,SFP to ERG,PSG to VRA,RVN to BIT,ETC to SOL,SHIB to BTC,ERG to BSV,ARK to BTC,GNO to BTC,ADA to SOL,MANA to XRP,BUSD to USDT,IOTX to BUSD,NIM to BTC,SMART to BTC,MITH to BTC,UNI to XMR,1INCH to USDT,POWR to BTC,SC to USDC,BABYDOGE to USDT,MATIC to BTC,XCH to BTC,CRO to TRX,ATOM to ETH,AWC to TRX,BNT to BTRST,LRC to RLC,TWT to BTC,AVAX to ETH,BSV to BTC,XNO to TRX,DAG to BTC,PAXG to ETH,VTC to ETH,LOOM to BTC,BCD to BTC,NXT to ARDR,RUNE to LTC,ZCL to LUN,HIVE to BTC,GLMR to KSM,FIRO to TWT,DOT to BTC,XEC to USDC,APE to LTC,KLAY to USDT,BRISE to ETH,ZIL to XMR,DAI to MANA,WBTC to BTC,NEBL to USDT,OKB to BCH,FTT to GRT,DCR to USDT,YFI to STC,ACA to GLMR,ADX to BTC,BTCB to BTC,KDA to LTC,FLUX to BTC,AXS to SLP,SHINJA to ETH,MX to USDT,LUNC to USDT,ALGO to BTC,ELF to ADX,STEEM to BTC,GRT to BTC,GT to VRA,REQ to ETH,SUN to OKB,BNBBEP20 to USDT,STETH to ETH,ETHW to ETH,WAXP to ETH,XVG to ETH,CELO to USDT,USTC to LUNC,SAND to APE,KAVA to BTC,XYO to BTT,KIN to BAL,SYS to BTC,ETN to BTC,ARDR to CFX,ARRR to BTC,EOS to BTC,VLX to ETH,FET to BEAM,NAV to GT,KNC to USDC,STRAX to USDC,RCN to FIRO,XVS to FIO,FIO to FIRO,OGN to BTC,EDG to ATL,WISE to USDT,STX to BTC,TUSD to BTC,KEANU to XMR,RDD to XMR,OP to USDT,UBT to ETH,BTTC to WOO,ANC to TWT,GALA to TRX,MDX to LTC,AAVE to DAI,LDO to ETH,HBTC to XAUT,NEAR to SOL,OHM to USDT,NEXO to ETH,KISHU to ETH,ROSE to ETH,AMP to BTC,POA to SOC,VIB to USDT,RFR to GRT,LSK to BTC,KCS to ETH,LPT to ETH,VRA to ETH,ICP to ETH,NEO to USDT,BLOCKS to ETH,BEAM to XMR,XHV to USDT,FLOKI to BTC,API3 to BTC,VGX to USDT,ENS to TRX,BTU to PAX,AURORA to CFX,BLOK to ETH,GNX to BTC,IOST to BTCST,CEL to BTC,NKN to DGD,WRX to TUSD,GHST to SUPER,CRV to XRP,LEO to ERG,JUV to ALICE,ONT to LUNA,IDRT to NGC,BAL to MKR,SNT to MOVR,TEL to BTC,CKB to HBAR,NRG to ATL,AMB to BTC,VIDT to EFI,BRD to BTC,SUB to BETA,WXT to LTC,OMG to CRV,HBAR to USDT,OCEAN to ETH,CULT to ETH,KLV to TRX,TRTL to BTC,ELON to AVAX,BTCST to USDT,WING to FORTH,DNT to TRX,MPH to VOLT,LINK to VIDT,HBD to USDT,JOE to ETH,HOKK to SFP,CUDOS to ETH,WETH to ETH,IOTA to BTC,RSR to BUSD,MOVR to ETH,CSPR to ETH,HC to BTC,ANT to AVAX,HOGE to ETH,SNX to USDC,PPC to BTC,AOA to CUBE,DAO to ETH,ASTR to ETH,SRM to ETH,VISION to BTC,COPI to ADA,CELR to CELT,ANKR to ETH,SPI to KCS,CVC to BTC,BNX to BAT,ABYSS to ETH,CYBER to ETH,UNIBOT to STX,RARI to ETH,GMEE to MATIC,FUSE to USDT,VOLT to ETH,YCC to ETH,MOB to HNT,BANANA to TRX,LTX to TRX,SKY to BTC,SFMBSC to ETH,CTXC to BTC,HTR to BTC,LOKA to ETH,AR to BTC,PIT to TRX,DF to XEC,PUNDIX to ETH,JST to USDT,BIN to TRX,ARV to USDT,XDB to ETH,POODL to ETH,BTG to BTC,ARPA to ETH,ENJ to BTC,RACA to USDT,AUDIO to USDT,VOXEL to ETH,SLP to XRP,SFUEL to BTC,BOLT to SOL,PIVX to USDT,GST to SHIB,TKO to TRX,DOBO to BTC,GSC to NAFT,ATRI to TT,TOMO to DOGE,FLOW to TRX,IMX to XMR,ZEN to BTC,BAKE to TRX,CHSB to EGLD,OG to ETH,XDC to ETH,STARL to TRX,TFUEL to ETH,FUN to LTC,SANSHU to BTC,XPRT to USDT,SHR to USDT,ONG to ONT,YFII to XMR,BICO to HT,EWT to USDT,LAZIO to BTC,CND to USDT,NIX to LTC,GNT to RNDR,AVA to USDC,AKRO to RDN,OXT to CAKE,BTM to BTC,RPL to LEO,VTHO to VET,MTL to USDT,ORN to PUNDIX,BAT to THETA,SUSHI to BADGER,SHE to ELON,REEF to T,CAN to LTC,DLT to BTC,BLZ to USDC,LGCY to LRC,ATL to XYM,SNGLS to HBTC,MFT to GALA,STC to TT,OAX to SUSHI,ROOBEE to ETH,ARB to DASH,KSM to USDT,XEM to SMART,CMT to USDC,QKC to USDT,DGTX to CITY,FIDA to BTC,DENT to BTC
BTC to USDT,ETH to MONONOKE,USDT to BTC,XRP to ATOM,DOGE to ERG,LTC to BSV,XMR to ETH,USDC to XLM,PHB to CCD,LUNA to ETH,DGB to TRX,NGC to BCD,TRX to SAITAMA,NANO to BCH,DASH to XMR,VET to BTC,AION to LINK,HNT to ETH,HEX to USDT,XTZ to LTC,XLM to USDT,SNM to BTC,SOL to ETH,BCH to XMR,EGLD to BTC,CAKE to TOMO,HT to SWEAT,BTT to ETH,THETA to USDT,ONE to TRX,GUSD to ETH,ZEC to BTC,SFP to ALGO,PSG to VLX,RVN to TRX,ETC to ADA,SHIB to ETH,ERG to ETH,ARK to ETH,GNO to ETH,ADA to ETH,MANA to MATIC,BUSD to BRISE,IOTX to ETH,NIM to USDT,SMART to USDT,MITH to DAI,UNI to BTC,1INCH to UNI,POWR to AXS,SC to EOS,BABYDOGE to LTC,MATIC to XMR,XCH to XMR,CRO to LTC,ATOM to BTC,AWC to USDT,BNT to CAKE,LRC to STC,TWT to SNM,AVAX to BTC,BSV to USDT,XNO to BTC,DAG to ETH,PAXG to BTC,VTC to LTC,LOOM to NULS,BCD to BNT,NXT to DASH,RUNE to GNO,ZCL to MLN,HIVE to ETH,GLMR to ETH,FIRO to SOL,DOT to USDT,XEC to ETH,APE to ETH,KLAY to TRX,BRISE to USDT,ZIL to USDT,DAI to MATIC,WBTC to BNX,NEBL to BTC,OKB to STEEM,FTT to WMT,DCR to ETH,YFI to SOL,ACA to USDT,ADX to BUSD,BTCB to XMR,KDA to BTC,FLUX to LTC,AXS to KAVA,SHINJA to USDT,MX to TRX,LUNC to ETH,ALGO to ETH,ELF to KEY,STEEM to PIVX,GRT to LOKA,GT to SSV,REQ to BTC,SUN to SSV,BNBBEP20 to BTC,STETH to USDT,ETHW to HEX,WAXP to USDT,XVG to BTC,CELO to SOL,USTC to TWT,SAND to ETH,KAVA to TRX,XYO to ETH,KIN to LTC,SYS to NXT,ETN to ETH,ARDR to PAY,ARRR to USDC,EOS to OGN,VLX to BTC,FET to IOTA,NAV to HT,KNC to LUNC,STRAX to USDT,RCN to SHIB,XVS to ADX,FIO to HOOK,OGN to TLM,EDG to BTC,WISE to ETH,STX to TRX,TUSD to USDT,KEANU to ETH,RDD to USDT,OP to ETH,UBT to USDT,BTTC to LINK,ANC to USDT,GALA to BEAM,MDX to BTC,AAVE to ETH,LDO to GLMR,HBTC to HOO,NEAR to USDT,OHM to ETH,NEXO to BTC,KISHU to BTC,ROSE to IOTX,AMP to USDC,POA to USDT,VIB to MC,RFR to DAR,LSK to ETH,KCS to TRX,LPT to SOL,VRA to BTC,ICP to BTC,NEO to BTC,BLOCKS to USDT,BEAM to BTC,XHV to BCH,FLOKI to TRX,API3 to COTI,VGX to GHC,ENS to ETH,BTU to MLN,AURORA to FRAX,BLOK to TRX,GNX to TRX,IOST to VIB,CEL to SWEAT,NKN to XRP,WRX to BTC,GHST to RNDR,CRV to VLX,LEO to GRT,JUV to PEOPLE,ONT to USDT,IDRT to OCC,BAL to FTT,SNT to SAND,TEL to ETH,CKB to USDT,NRG to MATIC,AMB to HOT,VIDT to HEX,BRD to ETH,SUB to DOGE,WXT to BTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC to WAVES,ETH to HEX,USDT to LUNA,XRP to SRK,DOGE to SHIB,LTC to TRX,XMR to SHIB,USDC to BTC,PHB to BUSD,LUNA to BNT,DGB to BCH,NGC to BEL,TRX to XRP,NANO to BTC,DASH to ETH,VET to USDT,AION to BUSD,HNT to TRX,HEX to LTC,XTZ to ETH,XLM to XRP,SNM to BAT,SOL to TRX,BCH to XLM,EGLD to TRX,CAKE to NEBL,HT to EVER,BTT to BTC,THETA to TFUEL,ONE to BTC,GUSD to XRP,ZEC to ETH,SFP to CELO,PSG to WRX,RVN to ETH,ETC to BTC,SHIB to TRX,ERG to BTG,ARK to MATIC,GNO to ANT,ADA to LTC,MANA to CAKE,BUSD to XMR,IOTX to BTC,NIM to WABI,SMART to USDC,MITH to ZEN,UNI to COMP,1INCH to XMR,POWR to JUV,SC to DCR,BABYDOGE to ETH,MATIC to ETH,XCH to ETH,CRO to ETH,ATOM to LTC,AWC to ETH,BNT to BAKE,LRC to PPT,TWT to MATIC,AVAX to XMR,BSV to ETH,XNO to XMR,DAG to USDT,PAXG to ADA,VTC to XMR,LOOM to ONG,BCD to VIB,NXT to BTC,RUNE to NFT,ZCL to ZEC,HIVE to LTC,GLMR to MATIC,FIRO to BTC,DOT to XMR,XEC to BTC,APE to BTC,KLAY to BCH,BRISE to BTC,ZIL to ETH,DAI to XMR,WBTC to XRP,NEBL to DNT,OKB to CAKE,FTT to USDC,DCR to BTC,YFI to ETN,ACA to ETH,ADX to FLUX,BTCB to FTT,KDA to XMR,FLUX to USDT,AXS to USDC,SHINJA to CVC,MX to T,LUNC to STAKE,ALGO to LTC,ELF to ATA,STEEM to TRX,GRT to SAND,GT to ORN,REQ to HT,SUN to TEL,BNBBEP20 to ETH,STETH to BTC,ETHW to USDT,WAXP to SMART,XVG to XMR,CELO to LTC,USTC to BTC,SAND to HT,KAVA to XMR,XYO to XMR,KIN to STRAX,SYS to BAT,ETN to COMP,ARDR to NXT,ARRR to TFUEL,EOS to MBL,VLX to LTC,FET to USDT,NAV to LAZIO,KNC to MC,STRAX to PORTO,RCN to USDT,XVS to BTC,FIO to SAND,OGN to ORN,EDG to FXS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC to LUNC,ETH to VTC,USDT to USDP,XRP to NEAR,DOGE to GAS,LTC to USDT,XMR to LTC,USDC to ZIL,PHB to BTC,LUNA to DAI,DGB to IOTX,NGC to MXC,TRX to DOT,NANO to TRX,DASH to BTC,VET to DENT,AION to USDC,HNT to LTC,HEX to ETHW,XTZ to BTC,XLM to NANO,SNM to ACM,SOL to XMR,BCH to LTC,EGLD to USDT,CAKE to XMR,HT to FARM,BTT to XMR,THETA to VRA,ONE to USDT,GUSD to USDC,ZEC to XRP,SFP to BAT,PSG to ATA,RVN to XMR,ETC to RVN,SHIB to BTTC,ERG to USDT,ARK to ALGO,GNO to MATIC,ADA to TRX,MANA to CELO,BUSD to BTC,IOTX to USDT,NIM to HOT,SMART to BCH,MITH to IOTA,UNI to CELO,1INCH to CAKE,POWR to FET,SC to KEY,BABYDOGE to BTC,MATIC to BCH,XCH to USDT,CRO to BTC,ATOM to XMR,AWC to BTC,BNT to DYDX,LRC to BTC,TWT to BRISE,AVAX to USDT,BSV to USDC,XNO to LTC,DAG to HBAR,PAXG to C98,VTC to USDT,LOOM to ALGO,BCD to WABI,NXT to POWR,RUNE to OKB,ZCL to ZEN,HIVE to STEEM,GLMR to USDT,FIRO to TRX,DOT to GLMR,XEC to BCH,APE to USDT,KLAY to MATIC,BRISE to TRX,ZIL to VRA,DAI to TRX,WBTC to VRA,NEBL to TWT,OKB to BUSD,FTT to USDT,DCR to ONG,YFI to ETC,ACA to LUSD,ADX to RNDR,BTCB to TRX,KDA to USDT,FLUX to ETH,AXS to USDT,SHINJA to BTC,MX to FRONT,LUNC to XMR,ALGO to XMR,ELF to AXL,STEEM to BAND,GRT to USDT,GT to ASR,REQ to STORJ,SUN to COTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC to DOGE,ETH to LUNC,USDT to TRX,XRP to USDT,DOGE to APE,LTC to XMR,XMR to TRX,USDC to BRISE,PHB to LPT,LUNA to ETC,DGB to ETH,NGC to KEY,TRX to ATOM,NANO to ETH,DASH to ZEC,VET to LINK,AION to USDT,HNT to BTC,HEX to BTC,XTZ to XMR,XLM to SHIB,SNM to NAV,SOL to BTC,BCH to DASH,EGLD to BUSD,CAKE to XLM,HT to HIVE,BTT to DGB,THETA to VET,ONE to ORN,GUSD to ADA,ZEC to LTC,SFP to PPC,PSG to MDX,RVN to LTC,ETC to XMR,SHIB to LEASH,ERG to BTC,ARK to LUNA,GNO to SUSHI,ADA to DOGE,MANA to BTCV,BUSD to TRX,IOTX to MATIC,NIM to RVN,SMART to FTT,MITH to ALGO,UNI to GAME,1INCH to MATIC,POWR to ETH,SC to GRS,BABYDOGE to TRX,MATIC to TRX,XCH to LTC,CRO to MAID,ATOM to TRX,AWC to JULD,BNT to FLOW,LRC to LUN,TWT to FLOKI,AVAX to TRX,BSV to SHIB,XNO to USDT,DAG to RAD,PAXG to QNT,VTC to BTC,LOOM to BUSD,BCD to USDC,NXT to NEXO,RUNE to VRA,ZCL to MV,HIVE to XMR,GLMR to TRX,FIRO to ETH,DOT to ETH,XEC to LTC,APE to THETA,KLAY to MITH,BRISE to BCH,ZIL to LTC,DAI to BTC,WBTC to RSR,NEBL to UTK,OKB to IOST,FTT to BTC,DCR to WPR,YFI to BTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC to AVAX,ETH to XMR,USDT to ATOM,XRP to AVAX,DOGE to NANO,LTC to ETH,XMR to ADA,USDC to XMR,PHB to LRC,LUNA to FTT,DGB to DOGE,NGC to REQ,TRX to XMR,NANO to XMR,DASH to BNT,VET to POWR,AION to BTC,HNT to DOGE,HEX to TRX,XTZ to BSV,XLM to TRX,SNM to MLN,SOL to USDT,BCH to TRX,EGLD to PAXG,CAKE to BUSD,HT to KLAY,BTT to USDT,THETA to XRP,ONE to TLM,GUSD to TUSD,ZEC to DASH,SFP to ICP,PSG to TLM,RVN to BTC,ETC to TWT,SHIB to USDT,ERG to TRX,ARK to BADGER,GNO to VGX,ADA to BTC,MANA to BUSD,BUSD to LTC,IOTX to IOTA,NIM to AXS,SMART to MX,MITH to BUSD,UNI to MANA,1INCH to BTC,POWR to GRT,SC to SRM,BABYDOGE to XMR,MATIC to LTC,XCH to SOL,CRO to RUNE,ATOM to USTC,AWC to XRP,BNT to PEPE,LRC to ENS,TWT to SUKU,AVAX to AKITA,BSV to HT,XNO to ETH,DAG to SFP,PAXG to SFP,VTC to BUSD,LOOM to STARL,BCD to HT,NXT to HNT,RUNE to UTK,ZCL to MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC to ETH,ETH to AMP,USDT to SOL,XRP to LTC,DOGE to FLOKI,LTC to SHIB,XMR to BTCB,USDC to LTC,PHB to MIR,LUNA to HEX,DGB to XMR,NGC to REP,TRX to ONE,NANO to DOGE,DASH to DCR,VET to USDC,AION to FUN,HNT to BSV,HEX to XMR,XTZ to OKB,XLM to XDC,SNM to HFT,SOL to XDC,BCH to BSV,EGLD to TORN,CAKE to MANA,HT to NEBL,BTT to BTG,THETA to LTC,ONE to STN,GUSD to BUSD,ZEC to USDT,SFP to BTC,PSG to SRM,RVN to ADA,ETC to PORTO,SHIB to ELON,ERG to ZEC,ARK to SFP,GNO to API3,ADA to VET,MANA to EURS,BUSD to VIB,IOTX to UNI,NIM to CAKE,SMART to ERG,MITH to MBOX,UNI to POWR,1INCH to HBAR,POWR to UNI,SC to PAY,BABYDOGE to KCS,MATIC to GMEE,XCH to AVAX,CRO to XMR,ATOM to USDT,AWC to LTC,BNT to PERP,LRC to ETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC to WBTC,ETH to BNBBEP20,USDT to XMR,XRP to BRISE,DOGE to BUSD,LTC to DOGE,XMR to USDT,USDC to ETH,PHB to KMD,LUNA to KRL,DGB to VET,NGC to SFP,TRX to DASH,NANO to LTC,DASH to EOS,VET to ONE,AION to EFI,HNT to XMR,HEX to MC,XTZ to FIO,XLM to BTC,SNM to ETH,SOL to MATIC,BCH to ETH,EGLD to USDC,CAKE to QTUM,HT to MBOX,BTT to WBTC,THETA to FTT,ONE to ICP,GUSD to SOL,ZEC to BSV,SFP to CHR,PSG to GRT,RVN to BUSD,ETC to HIVE,SHIB to XMR,ERG to XMR,ARK to MIR,GNO to ATA,ADA to DOT,MANA to LUNA,BUSD to ALPINE,IOTX to TWT,NIM to BRD,SMART to JASMY,MITH to CEEK,UNI to USDC,1INCH to DNT,POWR to MTL,SC to QNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC to STX,ETH to SOL,USDT to BCH,XRP to ADA,DOGE to LTC,LTC to BCH,XMR to BTC,USDC to SOL,PHB to HEX,LUNA to AST,DGB to BTC,NGC to ONT,TRX to LTC,NANO to BNT,DASH to PPT,VET to MATIC,AION to ETC,HNT to VRA,HEX to BEAM,XTZ to COMP,XLM to XMR,SNM to CRV,SOL to LTC,BCH to DGB,EGLD to NIM,CAKE to SHIB,HT to MASK,BTT to XYO,THETA to AMP,ONE to ETH,GUSD to SUSHI,ZEC to MATIC,SFP to XTZ,PSG to GAL,RVN to CAKE,ETC to ETHW,SHIB to LTC,ERG to LTC,ARK to CNS,GNO to SWEAT,ADA to BRISE,MANA to LOOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC to SOL,ETH to GNO,USDT to DGB,XRP to BTC,DOGE to BRISE,LTC to BABYDOGE,XMR to CUDOS,USDC to USDT,PHB to GMT,LUNA to AMP,DGB to LTC,NGC to ORN,TRX to USDT,NANO to USDT,DASH to LINK,VET to BUSD,AION to ETH,HNT to RAY,HEX to BAND,XTZ to EURS,XLM to DOGE,SNM to CVX,SOL to GMT,BCH to SOL,EGLD to UTK,CAKE to USDT,HT to MANA,BTT to BRISE,THETA to BTC,ONE to MATIC,GUSD to DOT,ZEC to HT,SFP to SYS,PSG to ILV,RVN to FLUX,ETC to FLUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
